segment_id,segment_name,time_s_ttl_fellow_test_xodr_all,time_s_ttl_racing_line_xodr,waypoint_hits_ttl_fellow_test_xodr_all,waypoint_hits_ttl_racing_line_xodr,mean_abs_cte_m_ttl_fellow_test_xodr_all,mean_abs_cte_m_ttl_racing_line_xodr,max_abs_cte_m_ttl_fellow_test_xodr_all,max_abs_cte_m_ttl_racing_line_xodr
2,straight,4.349999999999998,3.899999999999999,87.0,78,0.1755,0.181,0.306,0.181
3,curve,0.1000000000000014,0.1000000000000014,2.0,2,,,,
4,straight,2.5500000000000043,2.549999999999997,46.0,45,3.257,0.356,3.257,0.356
5,curve,2.199999999999996,1.6000000000000014,28.0,29,4.409,5.062,4.409,5.062
7,curve,2.8999999999999986,2.3999999999999986,41.0,41,1.802,3.155,1.802,3.155
8,straight,7.350000000000001,7.600000000000001,142.0,143,0.49,0.2956666666666667,0.991,0.501
9,curve,2.6499999999999986,4.550000000000004,53.0,62,3.691,3.545,3.691,3.664
10,straight,6.600000000000001,6.949999999999996,129.0,132,0.1605,0.276,0.169,0.445
11,curve,0.3500000000000014,0.3000000000000042,7.0,6,0.341,,0.341,
12,straight,7.25,6.649999999999992,141.0,132,1.182,0.1575,3.142,0.177
13,curve,3.450000000000003,3.950000000000003,49.0,49,2.702,2.709,2.702,2.809
14,straight,6.25,6.3500000000000085,119.0,120,0.5125,0.6765,1.025,1.283
15,curve,0.2999999999999971,0.3499999999999943,6.0,7,0.298,0.349,0.298,0.349
16,straight,3.0,2.8499999999999943,60.0,57,0.114,0.143,0.114,0.143
17,curve,0.1500000000000056,0.1000000000000085,3.0,2,,,,
18,straight,4.599999999999994,3.200000000000003,78.0,60,2.2555,0.781,4.466,0.781
19,curve,2.5999999999999943,2.25,29.0,29,0.612,3.97,0.612,3.97
20,straight,9.900000000000006,9.949999999999989,195.0,197,0.27275,0.23775,0.508,0.38
21,curve,0.1500000000000056,0.1000000000000085,3.0,2,,,,
22,straight,2.3999999999999915,2.6499999999999915,48.0,53,1.316,0.389,1.316,0.389
23,curve,0.1000000000000085,0.1500000000000056,2.0,3,,,,
24,straight,0.5499999999999972,0.75,11.0,15,,,,
25,curve,0.1499999999999914,0.2999999999999971,3.0,5,,1.032,,1.032
26,straight,3.8000000000000114,4.400000000000006,58.0,61,0.104,0.43,0.104,0.43
27,curve,4.0,4.049999999999997,48.0,48,4.1795,4.305,5.909,8.542
28,straight,0.7999999999999972,0.75,12.0,12,,,,
29,curve,3.25,3.1500000000000057,33.0,33,4.6855,3.405,5.916,3.405
30,straight,2.3999999999999915,1.5499999999999972,21.0,21,1.426,1.839,1.426,1.839
31,curve,0.3000000000000113,0.25,5.0,5,,,,
32,straight,10.299999999999995,9.450000000000005,176.0,176,1.51325,1.655,2.941,3.975
33,curve,1.3999999999999917,1.25,23.0,23,,,,
34,straight,7.349999999999994,6.599999999999994,140.0,127,0.1766666666666666,0.2403333333333333,0.337,0.36
35,curve,0.1500000000000056,0.1999999999999886,3.0,3,,,,
36,straight,0.8000000000000114,0.9000000000000057,13.0,13,3.123,4.294,3.123,4.294
37,curve,3.25,3.3499999999999943,47.0,47,4.172,4.483,4.172,4.483
38,straight,4.099999999999994,3.850000000000023,79.0,74,0.106,0.273,0.123,0.273
39,curve,1.0500000000000114,0.9499999999999886,21.0,19,,0.277,,0.277
41,curve,,0.0500000000000113,,1,,,,
42,straight,2.799999999999983,2.9499999999999886,56.0,58,0.179,0.438,0.179,0.438
43,curve,4.75,5.0,52.0,52,8.023,7.6845,11.972,11.772
44,straight,21.299999999999997,20.74999999999999,332.0,330,1.589153846153846,1.1034000000000002,4.494,4.492
45,curve,8.3,8.3,117.0,117,4.712666666666666,5.257000000000001,5.955,6.102
46,straight,0.3500000000000014,0.3499999999999978,7.0,7,0.105,,0.105,
47,curve,1.099999999999998,0.8000000000000007,19.0,16,,0.748,,0.748
