segment_id,segment_name,time_s,pct,waypoint_hits,mean_abs_cte_m,max_abs_cte_m
2,straight,3.8999999999999986,2.6271471876052535,78,0.192,0.192
3,curve,0.10000000000000142,0.06736274840013569,2,,
4,straight,2.549999999999997,1.7177500842034337,46,0.255,0.255
5,curve,1.5500000000000043,1.0441226002020914,29,5.022,5.022
7,curve,2.3999999999999986,1.6167059616032327,41,2.634,2.634
8,straight,6.850000000000001,4.61434826540923,133,1.5423333333333333,4.341
9,curve,4.399999999999999,2.963960929605927,62,3.688,3.688
10,straight,6.899999999999999,4.6480296396092955,132,0.8416666666666667,2.437
11,curve,0.30000000000000426,0.20208824520040708,6,,
12,straight,6.899999999999999,4.6480296396092955,136,1.2933333333333332,3.475
13,curve,3.3500000000000014,2.2566520714045146,49,3.488,3.488
14,straight,6.3999999999999915,4.311215897608617,118,0.5716666666666667,1.308
15,curve,0.30000000000001137,0.20208824520041185,6,,
16,straight,2.8499999999999943,1.919838329403836,57,0.342,0.342
17,curve,0.09999999999999432,0.0673627484001309,2,,
18,straight,3.6500000000000057,2.4587403166049215,64,2.3825,4.569
19,curve,2.25,1.5156618390030314,29,0.69,0.69
20,straight,9.950000000000003,6.702593465813407,196,0.32225,0.6
21,curve,0.09999999999999432,0.0673627484001309,2,,
22,straight,2.9000000000000057,1.953519703603911,58,0.169,0.169
23,curve,0.20000000000000284,0.13472549680027138,4,,
24,straight,1.1499999999999915,0.7746716066015437,18,,
25,curve,0.29999999999999716,0.20208824520040225,5,,
26,straight,3.950000000000003,2.660828561805324,62,0.5615,0.752
27,curve,4.299999999999997,2.8965981812057917,48,6.1579999999999995,10.555
28,straight,0.75,0.5052206130010105,12,,
29,curve,2.3500000000000085,1.5830245874031719,33,2.152,2.152
30,straight,2.299999999999997,1.5493432132030969,21,1.539,1.539
31,curve,0.29999999999999716,0.20208824520040225,5,,
32,straight,9.549999999999997,6.4331424722128645,178,1.52725,3.922
33,curve,1.2000000000000028,0.8083529808016185,23,,
34,straight,6.950000000000003,4.681711013809366,132,0.24366666666666667,0.358
35,curve,0.15000000000000568,0.10104412260020593,3,,
36,straight,0.75,0.5052206130010105,13,,
37,curve,2.9000000000000057,1.953519703603911,47,3.5645,4.329
38,straight,4.349999999999994,2.930279555405857,82,0.027,0.027
39,curve,1.0999999999999943,0.7409902324014782,22,0.157,0.157
42,straight,3.0999999999999943,2.088245200404173,61,0.504,0.504
43,curve,4.900000000000006,3.300774671606606,52,7.919,12.02
44,straight,20.79999999999999,14.011451667228018,330,1.0932,4.489
45,curve,8.25,5.557426743011115,117,5.219,5.956
46,straight,0.34999999999999787,0.23576961940047012,7,,
47,curve,0.8000000000000007,0.5389019872010783,16,0.85,0.85
